stateid,fips,state,year,lnnetuit,lnstapr,lnfte,lnpc_income
15,19,IA,2006,20.215034,20.408182,11.629294,10.444299
15,19,IA,2007,20.288153,20.438015,11.634559,10.509032
15,19,IA,2008,20.342514,20.523142,11.652783,10.560386
15,19,IA,2009,20.417698,20.570227,11.672098,10.524117
15,19,IA,2010,20.552568,20.51967,11.75295,10.548993
15,19,IA,2011,20.659651,20.379913,11.796178,10.620351
15,19,IA,2012,20.71763,20.355425,11.793756,10.666767
15,19,IA,2013,20.746523,20.420511,11.77274,10.679389
15,19,IA,2014,20.78894,20.465942,11.755142,10.708824
15,19,IA,2015,20.817648,20.495928,11.735132,10.740541
15,19,IA,2016,20.845776,20.497969,11.745346,10.743977
16,20,KS,1990,18.700583,19.879761,11.539139,9.8221693
16,20,KS,1991,18.789482,19.915829,11.558673,9.8487148
16,20,KS,1992,18.896915,19.916054,11.581453,9.9092207
16,20,KS,1993,19.004013,19.952158,11.594284,9.9452534
16,20,KS,1994,19.074568,19.987837,11.585442,9.980402
16,20,KS,1995,19.133141,20.037292,11.574341,10.014537
16,20,KS,1996,19.184752,20.067223,11.569561,10.072724
16,20,KS,1997,19.230276,20.079861,11.515841,10.124949
16,20,KS,1998,19.272966,20.144518,11.517266,10.177514
16,20,KS,1999,19.308573,20.202726,11.561906,10.203148
16,20,KS,2000,19.322336,20.282646,11.507209,10.250758
16,20,KS,2001,19.364519,20.332684,11.517674,10.279284
16,20,KS,2002,19.427906,20.374092,11.55542,10.283737
16,20,KS,2003,19.564432,20.326351,11.599516,10.307184
16,20,KS,2004,19.719315,20.336359,11.610442,10.331008
16,20,KS,2005,19.85766,20.394407,11.62579,10.380777
16,20,KS,2006,19.947483,20.456215,11.757009,10.474693
16,20,KS,2007,20.06665,20.475071,11.75387,10.53943
16,20,KS,2008,20.060545,20.518553,11.709667,10.614917
16,20,KS,2009,20.181931,20.50613,11.743711,10.571368
16,20,KS,2010,20.27911,20.478947,11.799051,10.58213
16,20,KS,2011,20.364573,20.480553,11.819682,10.66022
16,20,KS,2012,20.427471,20.424814,11.819793,10.714507
16,20,KS,2013,20.449104,20.480583,11.8069,10.732388
16,20,KS,2014,20.503544,20.449274,11.788942,10.751071
16,20,KS,2015,20.542555,20.490543,11.77432,10.761492
16,20,KS,2016,20.56015,20.442347,11.75453,10.767179
17,21,KY,1990,18.766396,20.106524,11.592153,9.655859
17,21,KY,1991,18.817442,20.21344,11.650877,9.7016773
17,21,KY,1992,19.037487,20.267559,11.773681,9.7646275
17,21,KY,1993,19.100742,20.214106,11.706962,9.7909346
17,21,KY,1994,19.112827,20.247646,11.693729,9.8311319
17,21,KY,1995,19.15593,20.289864,11.673223,9.8682232
17,21,KY,1996,19.355597,20.292175,11.659957,9.9190655
17,21,KY,1997,19.375423,20.365877,11.647369,9.9705849
17,21,KY,1998,19.403507,20.44883,11.640289,10.022026
17,21,KY,1999,19.502081,20.596113,11.647098,10.05535
17,21,KY,2000,19.614096,20.63711,11.640157,10.123345
17,21,KY,2001,19.687616,20.716375,11.691072,10.151558
17,21,KY,2002,19.747784,20.796436,11.785339,10.168733
17,21,KY,2003,19.823997,20.777212,11.85655,10.18908
17,21,KY,2004,19.711679,20.784485,11.849797,10.238279
17,21,KY,2005,19.937918,20.72654,11.853525,10.276877
17,21,KY,2006,20.005922,20.843355,11.854876,10.325711
17,21,KY,2007,20.144331,20.874823,11.853824,10.360881
17,21,KY,2008,20.252882,20.931953,11.866269,10.396505
17,21,KY,2009,20.335585,20.8997,11.88201,10.378479
17,21,KY,2010,20.41951,20.899586,11.94631,10.407863
17,21,KY,2011,20.506054,20.899561,11.981716,10.450857
17,21,KY,2012,20.561432,20.858938,11.978582,10.482373
