fy,state_abbrev,fips,y,x1,x2,x3,x4,x5,MD,decade,state,region_compact,state_name,yfte,MDSREB,lnnetut,lnfte,lnperinc
2011,AR,5,1015701952,413332128,124085,9949704192,99572,2940407,0,4,AR,1,ARKANSAS,8185.5337,0,19.839762,11.728722,11.508636
2012,AR,5,1018182208,459833216,124426,10393646080,106985,2952109,0,4,AR,1,ARKANSAS,8183.0342,0,19.946375,11.731466,11.580444
2013,AR,5,1015018624,478933376,124157,10764695552,107241,2959549,0,4,AR,1,ARKANSAS,8175.2832,0,19.987072,11.729302,11.582834
2014,AR,5,1001496256,537016192,121365,11142975488,113546,2967726,0,4,AR,1,ARKANSAS,8251.9365,0,20.10154,11.706558,11.639963
2015,AR,5,991233472,562211968,118408,11519785984,117181,2978407,0,4,AR,1,ARKANSAS,8371.3389,0,20.14739,11.681891,11.671475
2016,AR,5,989276928,604100864,117110,11826466816,120060,2990410,0,4,AR,1,ARKANSAS,8447.416,0,20.219252,11.670869,11.695746
2017,AR,5,974615744,644875712,114976,12016755712,124684,3002997,0,4,AR,1,ARKANSAS,8476.6885,0,20.284569,11.652478,11.733538
2018,AR,5,982187712,664045440,114664,,130297,3013825,0,4,AR,1,ARKANSAS,8565.79,0,20.313862,11.649761,11.777572
1980,CA,6,2652999936,216100000,979142,27745540096,284308,23800800,0,1,CA,2,CALIFORNIA,2709.5149,,19.191252,13.794432,12.557814
1981,CA,6,3077299968,259600000,1048051,29828255744,319557,24285932,0,1,CA,2,CALIFORNIA,2936.2122,,19.374653,13.862443,12.674691
1982,CA,6,3088100096,324700000,1075967,32452536320,342343,24820008,0,1,CA,2,CALIFORNIA,2870.0696,,19.598412,13.88873,12.743568
1983,CA,6,2973199872,405300000,1053638,33655117824,369809,25360024,0,1,CA,2,CALIFORNIA,2821.8418,,19.820139,13.86776,12.820742
1984,CA,6,2662299904,418000000,993557,38511546368,410796,25844396,0,1,CA,2,CALIFORNIA,2679.5645,,19.850992,13.809047,12.925852
1985,CA,6,3810500096,475100000,973445,43365273600,444067,26441108,0,1,CA,2,CALIFORNIA,3914.4482,,19.979036,13.788596,13.003731
