endyear,opeid5_new,lneg,lnstatea,lntuition,lntotfteiarep,lnftfac,lnptfac
2010,1155,19.304985,18.623205,18.748703,10.056681,6.605298,6.8875527
2011,1155,19.387041,18.689758,18.760164,10.001521,6.5424719,6.8221974
2012,1155,19.433168,18.332127,18.980013,10.064968,6.5610309,6.9622436
2013,1155,19.415022,18.330217,18.915186,10.058695,6.5482192,6.933423
2004,1156,17.837366,17.7894,16.962557,8.8533792,5.6058021,5.4026775
2006,1156,17.795795,17.787342,17.093304,8.8395662,5.5759492,5.4071717
2008,1156,18.164942,17.95487,17.296345,8.9771461,5.6204009,5.655992
2009,1156,18.239697,17.619448,17.346003,8.9815559,5.6204009,5.7004437
2010,1156,18.151834,17.732035,17.488657,8.9044943,5.6094718,5.4510384
2011,1156,18.24892,17.816996,17.520838,8.9182482,5.5412636,5.5872488
2012,1156,18.240458,17.572613,17.713627,8.9505329,5.5529594,5.4424176
2013,1156,18.282969,17.61141,17.767136,8.9614944,5.529429,5.529429
2004,1157,17.829025,17.765312,16.235722,8.784009,5.655992,5.2364421
2006,1157,17.927626,17.81274,16.400574,8.8518066,5.655992,5.3082676
2008,1157,18.25926,17.935127,16.554956,8.9314194,5.7365723,5.3471074
2009,1157,18.183756,17.596212,16.900438,8.9209232,5.749393,5.2417469
2010,1157,18.067289,17.732494,16.902905,8.8520927,5.6698809,4.7095304
2011,1157,18.162802,17.832434,17.086138,8.8220272,5.5834961,5.187386
2012,1157,18.172533,17.599394,17.362957,8.9111252,5.6419072,5.1239638
2013,1157,18.232767,17.614029,17.286789,8.8614922,5.6167712,5.220356
2004,1345,16.448519,16.118641,15.607071,8.2550488,4.6728287,4.7273879
2006,1345,16.609102,0,16.095221,8.3804569,4.6728287,4.89784
2007,1345,16.641634,0,16.13834,8.3106613,4.6728287,4.6347289
2008,1345,16.731903,0,16.145832,7.7719102,4.7361984,4.2904596
2009,1345,16.745094,0,16.184338,7.7890406,4.7184987,4.6051702
2010,1345,16.909943,0,16.171213,7.8481531,4.6728287,4.3820267
2011,1345,16.993359,0,16.486885,7.4342575,4.6913481,4.7361984
2012,1345,17.060757,0,16.527245,7.9529667,4.7184987,4.8121843
2013,1345,17.147947,0,16.612333,7.9395151,4.7273879,4.7004805
2004,1428,17.305847,17.15527,16.191944,7.8924522,5.2729998,1.3862944
2006,1428,17.492603,17.273037,16.758921,8.0179663,5.209486,.69314718
2007,1428,17.64356,17.345526,16.758188,8.0212564,5.220356,3.9889841
2008,1428,17.771381,17.381975,16.809032,7.9441376,5.3423343,4.2484951
2009,1428,17.744354,17.376989,16.777121,7.9700494,5.3278761,4.7957907
2010,1428,17.780025,17.377527,16.600637,8.111928,5.2522736,4.2046928
2011,1428,17.843031,17.282047,16.801455,8.2610102,5.2933049,4.9836068
2012,1428,17.896553,17.271566,16.921852,8.3000317,5.3565865,4.9904327
2013,1428,17.943014,17.309557,17.057989,8.3158112,5.4553213,4.9767337
2004,1544,17.065342,16.717596,15.539304,8.1250391,5.0039463,4.3174882
2005,1544,17.208639,16.742186,15.414834,8.1327066,4.9628448,4.2484951
2006,1544,17.145725,16.771414,15.884333,8.1229649,4.9836068,4.4659081
2007,1544,17.181719,16.839006,15.849375,8.2128391,4.9628448,4.6051702
2008,1544,17.306526,16.924946,15.901321,8.2474823,5.0039463,4.59512
2009,1544,17.324156,16.86442,16.114077,8.2743568,4.9628448,4.6913481
2010,1544,17.219566,16.635092,16.260084,8.3399782,4.9558272,4.8202815
2011,1544,17.314615,16.722607,16.439892,8.4051437,4.9836068,4.8598123
2012,1544,17.406567,16.640797,16.490818,8.408494,5.0369525,4.7957907
2013,1544,17.360271,16.710051,16.571604,8.2060375,5.0106354,4.4308167
2004,1546,17.308424,17.030548,16.375673,8.6086779,5.3844953,5.0689044
2006,1546,17.444187,17.176613,16.470329,8.6031876,5.4595857,5.2417469
2008,1546,17.585644,17.261995,16.709536,8.620472,5.5053315,5.1647859
2009,1546,17.571136,17.232883,16.843126,8.6832161,5.4722705,5.2574954
2010,1546,17.594267,17.00387,16.969446,8.7843151,5.480639,5.2626901
2011,1546,17.712807,17.109201,17.049301,8.7914858,5.5412636,5.1647859
2012,1546,17.747877,17.044952,17.260141,8.784009,5.556828,5.1179938
2013,1546,17.749296,17.068394,17.184355,8.7732296,5.5333896,5.0562458
