STU_ID,X1SEX,X1RACE,X1SES,X1SESQ5,X4ATPRLVLA,S3CLGPELL
10606,1,5,-1.0251,1,-7,2
10607,2,8,-0.1277,3,5,2
10608,1,8,0.0851,4,-8,1
10609,2,8,1.0269,5,6,2
10610,1,3,-1.245,1,-8,-8
10611,2,8,0.6856,5,-8,-8
10612,2,8,1.1475,5,4,1
10613,2,2,0.2706,4,4,1
10614,1,8,0.1856,4,3,3
10615,1,3,-0.2477,3,6,1
10616,2,5,0.3672,4,4,1
10617,2,8,0.1367,4,5,1
10618,2,4,-0.71,2,-8,-8
10619,2,1,0.2909,4,4,-4
10620,1,8,0.0813,4,-8,-7
10621,2,8,0.9587,5,4,3
10622,1,8,0.4007,4,-8,-8
10623,1,8,0.1543,4,6,2
10624,2,8,-0.5465,2,-7,-8
10625,1,8,0.0962,4,-8,-8
10626,1,3,-0.5813,2,-8,1
10627,2,4,-1.2803,1,-7,-8
10628,2,2,-0.8602,1,6,3
10629,2,5,-0.5771,2,-7,-7
10630,2,3,-1.0375,1,6,2
10632,1,8,-0.5592,2,4,2
10633,1,3,0.8692,5,6,-8
10634,2,8,-0.1113,3,4,2
10635,1,2,1.3326,5,4,2
10636,1,8,0.0607,4,-8,-8
10637,1,8,0.4937,4,-8,2
10639,1,6,0.1245,4,-8,-8
10640,2,8,0.0443,3,6,-8
10641,2,2,-8,-8,4,3
10642,1,8,0.5981,5,-8,2
10643,2,5,-0.7281,1,3,2
10644,2,5,0.0374,3,-7,-7
10645,1,6,-0.0754,3,4,2
10646,2,6,0.3259,4,-7,-7
10647,2,8,-0.0996,3,4,2
10649,2,8,0.8831,5,5,1
10650,2,8,.7131999999999999,5,4,-8
10651,2,8,-8,-8,6,-8
10652,2,2,-0.7157,2,4,-8
10653,1,8,0.4613,4,5,2
10654,1,2,-0.5142,2,6,1
10655,2,8,1.0269,5,4,2
10656,1,5,-0.7147,2,5,3
10657,1,5,-0.9176,1,-8,-8
10658,1,-9,-8,-8,5,-4
10659,2,6,-0.7751,1,4,1
10660,2,3,0.9394,5,6,-7
10661,2,6,1.3935,5,4,2
10662,1,8,1.3306,5,4,3
10663,2,8,0.8459,5,4,-8
10664,1,8,-0.4046,2,-8,-8
10665,2,8,0.621,5,6,-8
10666,2,8,1.1217,5,4,2
10667,1,6,-0.3566,2,-8,-7
10668,2,8,0.1173,4,5,3
10669,1,3,1.1166,5,4,3
10670,1,5,0.0736,4,-7,-7
10671,1,8,-0.17,3,6,-7
10672,2,5,-0.0289,3,-7,-7
10673,1,5,-0.9551,1,6,2
10674,2,6,1.1745,5,4,-7
10675,2,8,-0.3551,2,-7,-7
10677,1,8,0.5316,4,6,2
10678,2,8,1.3101,5,-8,-8
10679,1,5,-0.6812,2,-8,-7
10680,1,6,0.3952,4,5,2
10681,1,2,-8,-8,5,-8
10683,1,3,-0.5337,2,-8,-8
10684,2,8,-0.9901,1,-8,-7
10685,2,5,-0.4904,2,5,-8
10686,1,8,-0.4583,2,6,-8
10687,1,8,0.756,5,4,2
10688,2,6,-0.3173,3,4,1
10689,2,8,-0.8455,1,-8,1
10690,2,8,0.8375,5,-8,3
10691,2,8,-0.9072,1,3,2
10692,1,8,0.2587,4,-7,-7
10693,1,5,-0.1206,3,-7,-7
10694,1,8,-0.4806,2,-8,-8
10695,1,3,0.6152,5,2,2
10696,2,8,0.028,3,4,-9
10697,1,5,0.7541,5,-7,-7
10699,2,3,-1.1215,1,6,-8
10700,2,5,1.0828,5,6,1
10701,2,5,0.8583,5,5,3
10702,1,-9,-8,-8,-7,-7
10703,2,8,-0.1597,3,-8,-8
10704,1,8,0.1241,4,6,2
10705,2,8,1.0912,5,4,2
10706,1,6,0.5269,4,5,2
10707,2,8,-0.3091,3,-7,-7
10708,1,8,1.1097,5,4,1
10709,1,8,0.273,4,5,3
10711,1,5,0.3341,4,-8,-8
10712,2,8,-0.6714,2,-7,-7
10713,1,8,1.4744,5,4,3
10714,1,8,0.1612,4,-7,-7
10715,2,6,0.8881,5,5,-9
10716,2,8,-0.5771,2,4,-8
