academicyr,unitid,cc2010,grantlow
2010,186131,15. RU/VH: Research Universities (very high research activity),
2010,149514,17. DRU: Doctoral/Research Universities,
2010,167394,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,367909,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,218441,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,100937,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,112394,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,215062,15. RU/VH: Research Universities (very high research activity),
2010,110413,18. Master's L: Master's Colleges and Universities (larger programs),
2010,152080,15. RU/VH: Research Universities (very high research activity),
2010,155511,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,226587,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,210571,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,237066,19. Master's M: Master's Colleges and Universities (medium programs),
2010,216597,18. Master's L: Master's Colleges and Universities (larger programs),
2010,147165,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,119173,20. Master's S: Master's Colleges and Universities (smaller programs),
2010,121257,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,245953,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,153108,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,210775,19. Master's M: Master's Colleges and Universities (medium programs),
2010,194392,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,225885,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,238078,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,204936,19. Master's M: Master's Colleges and Universities (medium programs),
2010,206817,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,231059,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,434414,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,199847,16. RU/H: Research Universities (high research activity),
2010,168847,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,105516,18. Master's L: Master's Colleges and Universities (larger programs),
2010,169080,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,440396,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,177144,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,455770,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,169363,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,201104,17. DRU: Doctoral/Research Universities,
2010,168546,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,202514,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,135726,15. RU/VH: Research Universities (very high research activity),
2010,211291,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,179201,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,167358,16. RU/H: Research Universities (high research activity),
2010,173300,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,170301,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,212674,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,161457,18. Master's L: Master's Colleges and Universities (larger programs),
2010,170675,18. Master's L: Master's Colleges and Universities (larger programs),
2010,182458,19. Master's M: Master's Colleges and Universities (medium programs),
2010,140447,18. Master's L: Master's Colleges and Universities (larger programs),
2010,170967,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,171599,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,168421,17. DRU: Doctoral/Research Universities,
