fips,state_abbrev,state,fy,state_appropr,fte_enrollment,fed_relief
13,GA,GEORGIA,2011,2621894838,386534,57298847
13,GA,GEORGIA,2012,2321424853,379844,74232912
13,GA,GEORGIA,2013,2259457706,355866,0
13,GA,GEORGIA,2014,2415597522,348844,0
13,GA,GEORGIA,2015,2526889141,345467,0
13,GA,GEORGIA,2016,2668665688,346741,0
13,GA,GEORGIA,2017,2815093582,348606,0
13,GA,GEORGIA,2018,3026764862,351519,0
13,GA,GEORGIA,2019,3194255053,356348,0
13,GA,GEORGIA,2020,3353328160,360193,0
13,GA,GEORGIA,2021,3208418812,356921,29555785
13,GA,GEORGIA,2022,4257058350,348450,741230167
13,GA,GEORGIA,2023,4309680002,348477,323948499
13,GA,GEORGIA,2024,4234823524,366748,0
15,HI,HAWAII,1980,107200000,30465,
15,HI,HAWAII,1981,120000000,30643,
15,HI,HAWAII,1982,136000000,31540,
15,HI,HAWAII,1983,160000000,32457,
15,HI,HAWAII,1984,162400000,31453,
15,HI,HAWAII,1985,170400000,29649,
15,HI,HAWAII,1986,184800000,28689,
15,HI,HAWAII,1987,160800000,27862,
15,HI,HAWAII,1988,186400000,27774,
15,HI,HAWAII,1989,201600000,27906,
15,HI,HAWAII,1990,241200000,28337,
15,HI,HAWAII,1991,249100000,29970,
15,HI,HAWAII,1992,251500000,30796,
15,HI,HAWAII,1993,275700000,31917,
15,HI,HAWAII,1994,273100000,32969,
15,HI,HAWAII,1995,282200000,33378,
15,HI,HAWAII,1996,242700000,32708,
15,HI,HAWAII,1997,280027000,30633,
15,HI,HAWAII,1998,280330000,29993,
15,HI,HAWAII,1999,252658000,32625,
15,HI,HAWAII,2000,280513000,32484,
15,HI,HAWAII,2001,267812000,31810,0
15,HI,HAWAII,2002,270527000,33063,0
15,HI,HAWAII,2003,302030048,34420,0
15,HI,HAWAII,2004,328445296,35441,0
15,HI,HAWAII,2005,334792180,35733,0
15,HI,HAWAII,2006,384013383,35337,0
15,HI,HAWAII,2007,426961535,35010,0
15,HI,HAWAII,2008,466408097,35469,0
15,HI,HAWAII,2009,501392119,37070,0
15,HI,HAWAII,2010,473803715,39857,32000000
15,HI,HAWAII,2011,435243076,40743,22000240
15,HI,HAWAII,2012,430742086,40883,0
15,HI,HAWAII,2013,438366446,41094,0
15,HI,HAWAII,2014,444736681,40436,0
15,HI,HAWAII,2015,483445410,39444,0
15,HI,HAWAII,2016,508722595,38414,0
15,HI,HAWAII,2017,565921439,36827,0
15,HI,HAWAII,2018,610529243,36030,0
15,HI,HAWAII,2019,674282906,35254,0
15,HI,HAWAII,2020,666028400,34736,4400000
15,HI,HAWAII,2021,704758300,34151,12460627
15,HI,HAWAII,2022,669920718,32620,32201825
15,HI,HAWAII,2023,765594480,31880,57531770
15,HI,HAWAII,2024,729820972,32695,132444
16,ID,IDAHO,1980,79400000,26647,
16,ID,IDAHO,1981,90000000,28373,
16,ID,IDAHO,1982,88600000,28720,
16,ID,IDAHO,1983,91900000,27252,
16,ID,IDAHO,1984,98100000,27034,
16,ID,IDAHO,1985,108600000,26110,
16,ID,IDAHO,1986,115800000,25452,
16,ID,IDAHO,1987,122900000,25252,
16,ID,IDAHO,1988,133600000,26406,
16,ID,IDAHO,1989,139500000,27701,
16,ID,IDAHO,1990,151900000,29459,
16,ID,IDAHO,1991,175100000,31281,
16,ID,IDAHO,1992,180900000,33259,
16,ID,IDAHO,1993,184500000,35022,
16,ID,IDAHO,1994,196100000,35574,
16,ID,IDAHO,1995,207057450,36333,
16,ID,IDAHO,1996,216761650,36694,
16,ID,IDAHO,1997,221955650,37183,
16,ID,IDAHO,1998,237392500,37252,
16,ID,IDAHO,1999,258443900,37937,
16,ID,IDAHO,2000,273092900,38853,
16,ID,IDAHO,2001,299412525,39495,0
16,ID,IDAHO,2002,334792625,41593,0
16,ID,IDAHO,2003,310538038,43104,0
16,ID,IDAHO,2004,313089354,45184,0
16,ID,IDAHO,2005,323142733,45024,0
16,ID,IDAHO,2006,334073061,44504,0
16,ID,IDAHO,2007,347911884,43378,0
16,ID,IDAHO,2008,381872662,43968,0
16,ID,IDAHO,2009,384974010,44705,0
16,ID,IDAHO,2010,354996631,49251,17683900
16,ID,IDAHO,2011,333534140,53201,4766900
16,ID,IDAHO,2012,321463022,58980,0
16,ID,IDAHO,2013,347809597,57837,0
16,ID,IDAHO,2014,361021399,56177,0
16,ID,IDAHO,2015,386325969,54102,0
16,ID,IDAHO,2016,400837091,52744,0
16,ID,IDAHO,2017,439232995,53116,0
16,ID,IDAHO,2018,458107893,53572,0
16,ID,IDAHO,2019,482420916,54421,0
16,ID,IDAHO,2020,499654187,55155,0
16,ID,IDAHO,2021,571027929,53699,65347735
16,ID,IDAHO,2022,526781770,53977,3590219
16,ID,IDAHO,2023,620460265,54261,59139805
16,ID,IDAHO,2024,626395197,55784,7868772
17,IL,ILLINOIS,1980,779400000,342097,
17,IL,ILLINOIS,1981,863800000,369824,
17,IL,ILLINOIS,1982,902800000,387811,
17,IL,ILLINOIS,1983,933600000,385343,
17,IL,ILLINOIS,1984,1042500000,363200,
17,IL,ILLINOIS,1985,1071800000,354119,
17,IL,ILLINOIS,1986,1181100000,345494,
17,IL,ILLINOIS,1987,1250400000,351214,
17,IL,ILLINOIS,1988,1216300000,348745,
17,IL,ILLINOIS,1989,1309000000,349643,
